lprn,lsf,unitsftc,bathstot,roomsn,sfan,sfdn,cencityn,urbsubn,urbann,riuraln,agelt5,age510,age1015,agegte30,inadeq,degreen,s87,s88,s89,s90,s91,s92,s93,verylg,large,siz1to3,small,prvlocn,firbuy,incbuy,incsell,qbusb,qbusn,agen,ageb,blkbuy,blksell,marbuy,marsell,sfbuy,sfsell,edubuy,edusell,kidbuy,kidsell,cenind,saltotbt,saltotnt
10.30899,6.973543,0,1,5,0,1,0,0,0,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,21000,34000,0,0,53,40,0,0,1,1,0,0,0,0,1,0,0,0,0
10.30899,7.090077,0,1,7,0,1,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,18225,14500,0,0,40,53,0,0,0,0,1,1,1,0,0,0,0,0,0
10.34177,7.783224,0,1,6,0,1,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,14000,37000,0,0,36,40,0,0,1,1,0,0,0,0,0,1,0,0,0
10.35777,6.684612,0,1,7,0,1,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,37910,23000,0,0,32,46,0,0,1,1,0,0,0,0,1,0,0,0,0
10.37352,7.684324,0,1,6,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,9000,0,0,0,26,86,0,0,0,0,0,1,0,0,0,0,0,0,0
10.37352,7.556951,0,1.5,11,0,1,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,16000,0,0,0,43,59,0,0,0,1,1,0,0,0,1,1,0,0,0
10.37352,7.783224,0,1,6,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,15800,23000,0,1,33,38,0,1,0,1,1,0,1,0,1,1,0,0,0
10.37352,7.261927,0,1,5,0,1,0,1,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,1,0,0,0,1,21500,30000,0,0,26,27,0,0,1,1,0,0,0,0,1,1,0,0,0
10.40126,6.768493,0,1,4,1,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,31000,7000,0,0,29,22,0,0,0,0,0,1,0,0,0,1,0,0,0
10.40429,6.809039,0,1,4,0,1,1,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,1,0,0,1,32080,33000,0,0,32,31,0,0,1,0,0,1,0,1,1,0,0,0,0
10.41933,6.962244,0,1,6,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23500,0,1,38,26,0,0,0,1,1,0,1,0,1,0,0,0,0
10.43414,7.129298,0,2,6,0,0,0,0,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,69,61,0,0,1,0,0,0,0,0,0,0,0,0,0
10.43414,6.866933,0,1,5,0,1,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,3000,10900,0,0,55,34,0,0,0,0,0,1,0,0,0,1,0,0,0
10.44874,7.495542,0,1.5,10,0,1,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,35500,0,0,0,29,41,0,0,1,1,0,0,0,0,1,1,0,0,0
10.44874,7.495542,0,1,4,0,1,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,28000,0,0,71,44,0,0,1,1,0,0,0,1,0,1,0,0,0
10.44874,6.768493,0,1,4,0,1,0,0,1,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,5435,23300,0,0,21,22,1,0,0,1,0,0,0,0,0,1,0,0,0
10.46313,6.704414,0,1,5,0,1,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,22000,9000,0,0,24,32,0,0,1,0,0,1,0,0,0,1,0,0,0
10.46313,6.620073,0,1,4,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,41000,31000,0,0,32,24,0,0,1,1,0,0,1,0,1,1,0,0,0
10.46313,8.294049,1,2,10,0,1,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,30000,0,0,0,55,78,0,0,1,0,0,1,0,0,0,0,0,0,0
10.46313,7.740664,0,2,11,0,1,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,8000,8500,0,0,39,53,0,0,1,0,0,0,0,0,1,0,0,0,0
10.46313,7.957177,0,1,8,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,23000,35000,0,0,31,36,0,0,0,1,1,0,1,1,1,1,0,0,0
10.46313,7.021084,0,1.5,5,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,18500,8000,1,0,35,48,0,0,0,1,1,0,0,0,1,1,0,0,0
