seqno,grade,sex,race,bilingual,bil,lunch,income,sn,sped,absent1,absent2,present1,present2,v15,v16,v17,passfail,sat_00_m,v19,v20,v21,sat_00_r,v23,v24,sat1m,sat_01_m,v27,v28,sat1r,sat_01_r,spr00plm,mcas00m,spr00ple,mcas00e,spr01plm,mcas01m,spr01ple,mcas01e,fa01plm,mcasfama,fa01ple,mcasfael,sch
15481,7,M,Hispanic,S,Yes,AF,1, ,0, , , , ,5,7,1,0,592,5,8,1,599, , , , , , , , , , , , , , , , , , , , ,2140
15482,6,M,Black, ,No,AF,1, ,0, , , , , , , , , , , , , , , , , ,5,43,2,647,NI,236,NI,228, , , , , , , , ,2060
15483,6,M,Black, ,No,AF,1, ,0, , , , , , , , , , , , , ,5,5,1,585,5,7,1,594,F,212,F,210, , , , , , , , ,2060
15484,6,M,Black, ,No,AF,1,R3,3, , , , , , , , , , , , , ,5,5,1,585,5,13,1,609,F,200,F,214, , , , , , , , ,2110
15485,6,F,Black, ,No,AF,1, ,0, , , , , , , , , , , , , ,5,63,2,658,5,72,3,676,NI,228,NI,236, , , , , , , , ,2110
15486,7,M,Black, ,No,AF,1,A4,4, , , , ,5,8,1,0,595,5,10,1,603,6,13,1,614,6,7,1,608, , , , ,W,208, , , , , , ,2200
15487,8,F,Black,F,Yes,AF,1, ,0, , , , ,6,40,1,0,647,6,30,2,643,7,38,1,660,7,14,1,635, , , , , , ,INC, , , , , ,2180
15488,6,M,Black, ,No,AF,1, ,0, , , , , , , , , , , , , ,5,38,2,636,5,23,2,624, , , , , , , , , , , , ,2180
15489,8,M,White, ,No,AF,1, ,0, , , , ,6,32,1,0,639,6,20,2,631, , , , , , , , , , , , , , , , , , , , ,2140
15490,7,M,Hispanic, ,No,AF,1,R3,3, , , , ,5,16,1,0,610,5,9,1,601, , , , , , , , , , , , , , , , , , , , ,2140
15491,7,M,White, ,No,AR,2,R3,3, , , , ,5,14,1,0,607,5,4,1,587, , , , , , , , , , , , , , , , , , , , ,2140
15492,6,F,Hispanic, ,No,AF,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2040
15493,7,F,Black, ,No,AF,1,Q4,4, , , , ,5,13,1,0,605,5,26,2,628,6,17,1,620,6,25,2,637, , , , ,W,210, , , , , , ,2120
15494,6,F,Black, ,No,AF,1, ,0, , , , , , , , , , , , , ,5,30,1,628,5,27,2,630, , , , , , , , , , , , ,2060
15495,6,M,Black, ,No,AF,1, ,0, , , , , , , , , , , , , ,5,30,1,628,5,27,2,630,NI,230,NI,224, , , , , , , , ,2060
15496,11,F,Hispanic, ,No,AF,1, ,0, , , , ,9,13,1,0,648,9,8,1,644, , , , , , , , , , , , ,F,216,F,212, , , , ,1210
15497,11,F,Black, ,No,O,3, ,0, , , , ,9,67,2,1,703,9,65,3,716,10,71,2,718,10,64,2,720, , , , ,F,218,P,240, , , , ,1250
15498,11,M,Black, ,No,O,3, ,0, , , , , , , , , , , , , , , , , , , , , , , , , ,F,216,F,212, , , , ,1070
