ccoder,year,countryname,ccode,polity2r,agree3un,HR,lnmanpower,leaidc,lmaidc,lgdppcc,lpop,lgdpc,lexportc,rg1,rg2,rg3,rg4,rg5,terr,POTUS,USSenate,USHouse,USunempl,USgrowth,USinflation
500,2009,"Uganda",500,-1,0.240740746259689,3,2.39789527279837,19.7652645111084,14.982762336731,5.95082378387451,17.307897567749,23.2587223052979,18.3698577880859,1,0,0,0,0,1,0,0,0,9.28333333333333,-2.59988835108558,-0.4
500,2010,"Uganda",500,-1,0.15384615957737,3,2.30258509299405,19.693416595459,16.4308586120605,5.97418832778931,17.341495513916,23.3156833648682,18.1107273101807,1,0,0,0,0,1,0,0,0,9.60833333333333,2.70885669419681,1.6
500,2011,"Uganda",500,-1,0.258333325386047,3,2.39789527279837,19.7999477386475,13.552809715271,6.00470781326294,17.3750801086426,23.3797874450684,18.1915512084961,1,0,0,0,0,1,0,0,1,8.93333333333333,1.54989495017045,3.2
501,1992,"Kenya",501,-5,0.303571432828903,4,3.40119738166216,17.9020709991455,14.0281457901001,6.26017570495605,17.0358638763428,23.2960395812988,19.1041259765625,1,0,0,0,0,0,1,0,0,7.49166666666667,3.52244052740502,3
501,1993,"Kenya",501,-5,0.3828125,3,3.52636052461616,19.0204296112061,14.2145881652832,6.23216390609741,17.0673999786377,23.2995643615723,19.4001903533936,1,0,0,0,0,0,0,0,0,6.90833333333333,2.75178105096643,3
501,1994,"Kenya",501,-5,0.404411762952805,4,3.46573590279973,18.3674297332764,13.206148147583,6.22782802581787,17.0977230072021,23.3255519866943,19.5837955474854,1,0,0,0,0,0,0,0,0,6.1,4.02879325991903,2.6
501,1995,"Kenya",501,-5,0.351851850748062,4,3.71357206670431,17.4936237335205,12.9962491989136,6.24195766448975,17.1267127990723,23.3686714172363,18.9938774108887,1,0,0,0,0,0,0,1,1,5.59166666666667,2.68421727207786,2.8
501,1996,"Kenya",501,-5,0.427631586790085,3,3.40119738166216,16.8713397979736,12.7988023757935,6.25495862960815,17.1543445587158,23.4093017578125,18.6591377258301,1,0,0,0,0,0,0,1,1,5.40833333333333,3.77256549921414,2.9
501,1997,"Kenya",501,-2,0.333333343267441,4,3.46573590279973,17.3521289825439,12.7417421340942,6.23317909240723,17.1808605194092,23.4140396118164,19.3512344360352,1,0,0,0,0,0,0,1,1,4.94166666666667,4.44717494524525,2.3
501,1998,"Kenya",501,-2,0.313559323549271,3,4.46590811865458,18.1461296081543,13.0787229537964,6.23967933654785,17.2067337036133,23.4464130401611,19.1857109069824,1,0,0,0,0,0,0,1,1,4.5,4.48139443155316,1.6
501,1999,"Kenya",501,-2,0.292307704687119,3,4.56434819146784,18.3794174194336,13.445915222168,6.23666954040527,17.2325344085693,23.4692039489746,19.240442276001,1,0,0,0,0,0,0,1,1,4.21666666666667,4.79449904467508,2.2
501,2000,"Kenya",501,-2,0.338461548089981,3,3.09104245335832,18.5589294433594,13.1626558303833,6.21653318405151,17.2586517333984,23.4751834869385,19.6662483215332,1,0,0,0,0,0,0,1,1,3.96666666666667,4.07715947941618,3.4
501,2001,"Kenya",501,-2,0.266129046678543,3,4.14313472639153,19.0722045898438,14.4073839187622,6.22709894180298,17.2851867675781,23.5122852325439,20.3991947174072,1,0,0,0,0,0,1,0,1,4.74166666666667,0.954338728708379,2.8
501,2002,"Kenya",501,8,0.219178080558777,4,3.78418963391826,18.5668487548828,16.7736721038818,6.2057056427002,17.3120346069336,23.5177402496338,19.6369590759277,1,0,0,0,0,1,1,0,1,5.78333333333333,1.69594292274957,1.6
501,2003,"Kenya",501,8,0.180000007152557,3,3.52636052461616,18.7759590148926,14.6772546768188,6.20756959915161,17.3390731811523,23.5466423034668,19.2194118499756,1,0,0,0,0,1,1,1,1,5.99166666666667,2.7962091006717,2.3
501,2004,"Kenya",501,8,0.246478870511055,3,3.52636052461616,19.082275390625,16.1369247436523,6.23030376434326,17.3661212921143,23.5964260101318,19.8859844207764,1,0,0,0,0,1,1,1,1,5.54166666666667,3.85255260064351,2.7
501,2005,"Kenya",501,8,0.173913046717644,3,3.49650756146648,19.3708229064941,15.1957864761353,6.26075458526611,17.3930587768555,23.6538143157959,20.2650318145752,1,0,0,0,0,1,1,1,1,5.08333333333333,3.48322032025258,3.4
501,2006,"Kenya",501,8,0.22881355881691,3,3.40119738166216,19.6818370819092,NA,6.29534435272217,17.4198532104492,23.7151966094971,19.9588527679443,1,0,0,0,0,1,1,1,1,4.60833333333333,2.78281062584327,3.2
501,2007,"Kenya",501,7,0.16666667163372,4,3.76120011569356,19.8341503143311,10.4693784713745,6.33623600006104,17.4465579986572,23.7827930450439,19.9407138824463,1,0,0,0,0,1,1,0,0,4.61666666666667,2.01050755163328,2.9
501,2008,"Kenya",501,7,0.161971837282181,4,3.93182563272433,20.0586738586426,13.3075428009033,6.32470512390137,17.4732418060303,23.7979469299316,19.6354370117188,1,0,0,0,0,1,1,0,0,5.8,0.122188442974647,3.8
501,2009,"Kenya",501,7,0.246268659830093,3,3.73766961828337,20.3309783935547,13.9586639404297,6.32493305206299,17.4999980926514,23.8249320983887,19.9803848266602,1,0,0,0,0,1,0,0,0,9.28333333333333,-2.59988835108558,-0.4
501,2010,"Kenya",501,8,0.238095238804817,3,3.58351893845611,20.2143115997314,14.4271612167358,6.35411500930786,17.5268650054932,23.8809795379639,19.3951683044434,1,0,0,0,0,1,0,0,0,9.60833333333333,2.70885669419681,1.6
501,2011,"Kenya",501,8,0.269230782985687,2,3.09104245335832,20.4377689361572,14.438572883606,6.36996507644653,17.5538444519043,23.9238090515137,19.6414432525635,1,0,0,0,0,1,0,0,1,8.93333333333333,1.54989495017045,3.2
510,1992,"Tanzania",510,-5,0.253968268632889,1,2.07944154167984,17.2444877624512,12.5102291107178,5.66654920578003,17.1200542449951,22.7583522796631,17.8476486206055,1,0,0,0,0,0,1,0,0,7.49166666666667,3.52244052740502,3
510,1993,"Tanzania",510,-5,0.295081973075867,2,2.07944154167984,17.6478939056396,13.1301164627075,5.64534664154053,17.1533088684082,22.7703380584717,17.9073276519775,1,0,0,0,0,0,0,0,0,6.90833333333333,2.75178105096643,3
510,1994,"Tanzania",510,-5,0.340909093618393,2,2.07944154167984,17.6280174255371,12.2000970840454,5.62915086746216,17.1851253509521,22.7858943939209,18.2614307403564,1,0,0,0,0,0,0,0,0,6.1,4.02879325991903,2.6
510,1995,"Tanzania",510,-1,0.279411762952805,3,2.07944154167984,17.7381210327148,11.7406873703003,5.63456964492798,17.2148494720459,22.8209705352783,18.4466743469238,1,0,0,0,0,0,0,1,1,5.59166666666667,2.68421727207786,2.8
510,1996,"Tanzania",510,-1,0.360000014305115,3,1.79175946922806,16.58127784729,12.0149669647217,5.65153694152832,17.2423896789551,22.8654117584229,18.0024547576904,1,0,0,0,0,0,0,1,1,5.40833333333333,3.77256549921414,2.9
510,1997,"Tanzania",510,-1,0.311594188213348,3,1.94591014905531,16.4537963867188,8.65486431121826,5.66041374206543,17.2682266235352,22.9000568389893,18.1229419708252,1,0,0,0,0,0,0,1,1,4.94166666666667,4.44717494524525,2.3
510,1998,"Tanzania",510,-1,0.295081973075867,3,2.19722457733622,17.4622001647949,12.1064567565918,5.67212009429932,17.2929992675781,22.9364719390869,17.9970550537109,1,0,0,0,0,0,0,1,1,4.5,4.48139443155316,1.6
510,1999,"Tanzania",510,-1,0.257575750350952,2,2.19722457733622,18.0340576171875,12.094822883606,5.69490480422974,17.3175506591797,22.9837398529053,18.1321792602539,1,0,0,0,0,0,0,1,1,4.21666666666667,4.79449904467508,2.2
510,2000,"Tanzania",510,-1,0.313432842493057,3,2.07944154167984,17.5938663482666,12.0133905410767,5.71820878982544,17.3424739837646,23.0319004058838,17.5896110534668,1,0,0,0,0,0,0,1,1,3.96666666666667,4.07715947941618,3.4
510,2001,"Tanzania",510,-1,0.227272734045982,3,2.30258509299405,18.5284404754639,12.3003902435303,5.75113344192505,17.3678646087646,23.0901489257813,18.0010528564453,1,0,0,0,0,0,1,0,1,4.74166666666667,0.954338728708379,2.8
510,2002,"Tanzania",510,-1,0.226027399301529,2,2.39789527279837,17.9420261383057,12.5805311203003,5.79461240768433,17.3936405181885,23.1593341827393,18.0018692016602,1,0,0,0,0,1,1,0,1,5.78333333333333,1.69594292274957,1.6
510,2003,"Tanzania",510,-1,0.210526317358017,3,2.07944154167984,18.2425804138184,12.3014373779297,5.83495569229126,17.419942855835,23.2259292602539,18.0532531738281,1,0,0,0,0,1,1,1,1,5.99166666666667,2.7962091006717,2.3
510,2004,"Tanzania",510,-1,0.192857146263123,2,2.56494935746154,18.4344654083252,NA,5.88342428207397,17.4468975067139,23.3013000488281,18.6917686462402,1,0,0,0,0,1,1,1,1,5.54166666666667,3.85255260064351,2.7
510,2005,"Tanzania",510,-1,0.1875,3,2.484906649788,18.7138862609863,14.9443283081055,5.92692422866821,17.4745597839355,23.3724098205566,18.3850536346436,1,0,0,0,0,1,1,1,1,5.08333333333333,3.48322032025258,3.4
510,2006,"Tanzania",510,-1,0.18831168115139,2,2.63905732961526,19.1206092834473,NA,5.96378946304321,17.5029468536377,23.4376106262207,18.9475746154785,1,0,0,0,0,1,1,1,1,4.60833333333333,2.78281062584327,3.2
510,2007,"Tanzania",510,-1,0.157534241676331,2,2.39789527279837,19.2564601898193,11.057897567749,6.00383329391479,17.5319976806641,23.5066528320313,18.9339027404785,1,0,0,0,0,1,1,0,0,4.61666666666667,2.01050755163328,2.9
510,2008,"Tanzania",510,-1,0.181818187236786,2,2.30258509299405,20.5327033996582,12.4357948303223,6.04604816436768,17.5615692138672,23.5783843994141,18.772029876709,1,0,0,0,0,1,1,0,0,5.8,0.122188442974647,3.8
510,2009,"Tanzania",510,-1,0.269841283559799,2,2.484906649788,19.6079292297363,12.9227628707886,6.07466650009155,17.5914783477783,23.6368618011475,18.7310638427734,1,0,0,0,0,1,0,0,0,9.28333333333333,-2.59988835108558,-0.4
510,2010,"Tanzania",510,-1,0.258333325386047,2,2.56494935746154,19.9710845947266,13.7579536437988,6.11267900466919,17.6215801239014,23.7049217224121,18.7634105682373,1,0,0,0,0,1,0,0,0,9.60833333333333,2.70885669419681,1.6
510,2011,"Tanzania",510,-1,0.317307680845261,2,2.484906649788,20.0133152008057,13.6408195495605,6.14497470855713,17.6518306732178,23.7674160003662,19.2390480041504,1,0,0,0,0,1,0,0,1,8.93333333333333,1.54989495017045,3.2
